Destination,Dest_Country,Price,Quota,Date_start,Date_end
三亞,日本,1145 ,200,2019/3/22,2019/4/21
三藩市,美國,4710 ,150,2019/3/15,2019/4/4
三藩市,美國,4710 ,300,2019/3/8,2019/3/23
"上海,虹橋",中國,1507 ,150,2019/2/3,2019/2/7
"上海,浦東",中國,1508 ,200,2019/5/24,2019/6/23
"上海,浦東",中國,1446 ,200,2019/3/29,2019/4/28
大阪,日本,3031 ,200,2019/2/24,2019/3/9
巴黎,法國,4798 ,200,2019/5/9,2019/6/5
加德滿都,尼泊爾,3440 ,150,2019/5/14,2019/5/22
加德滿都,尼泊爾,3934 ,200,2019/3/22,2019/4/10
台北,台灣,1299 ,1000,2019/5/15,2019/10/31
布吉(普吉),泰國,2042 ,200,2019/3/11,2019/3/28
布魯塞爾,比利時,4451 ,150,2019/1/22,2019/2/19
札幌,日本,3466 ,200,2019/4/23,2019/5/30
札幌,日本,4350 ,200,2019/3/10,2019/3/27
仰光,緬甸,2742 ,200,2019/2/27,2019/3/15
吉隆坡,馬來西亞,1745 ,200,2019/5/14,2019/5/27
吉隆坡,馬來西亞,1683 ,200,2019/3/11,2019/3/25
吉隆坡,馬來西亞,1683 ,200,2019/2/27,2019/3/19
吉隆坡,馬來西亞,1744 ,200,2019/2/16,2019/3/8
吉隆坡,馬來西亞,1743 ,200,2019/2/19,2019/3/4
名古屋,日本,3257 ,200,2019/6/3,2019/6/22
名古屋,日本,3192 ,200,2019/5/15,2019/5/30
名古屋,日本,3196 ,200,2019/2/18,2019/3/4
名古屋,日本,3263 ,200,2019/1/16,2019/1/29
多倫多,加拿大,6798 ,200,2019/9/16,2019/10/15
米蘭,意大利,4159 ,200,2019/3/10,2019/3/31
西安,中國,1446 ,200,2019/4/19,2019/5/19
西雅圖,美國,4492 ,100,2019/9/16,2019/10/15
西雅圖,美國,4710 ,240,2019/4/2,2019/5/5
杜拜,阿聯酋,4847 ,150,2019/5/26,2019/6/17
沖繩,日本,2482 ,200,2019/6/2,2019/6/18
沖繩,日本,2482 ,200,2019/3/17,2019/4/9
沖繩,日本,2368 ,200,2019/2/16,2019/3/31
孟買,印度,4552 ,200,2019/3/5,2019/4/2
昆明,中國,1408 ,200,2019/5/10,2019/6/9
昆明,中國,1346 ,180,2019/3/9,2019/4/4
昆明,中國,1344 ,200,2019/3/1,2019/3/31
杭州,中國,1446 ,200,2019/4/26,2019/5/26
杭州,中國,1446 ,180,2019/3/21,2019/4/4
杭州,中國,1505 ,150,2019/1/26,2019/2/8
"東京,成田",日本,3257 ,210,2019/4/26,2019/4/30
"東京,成田",日本,2396 ,1000,2019/5/19,2019/10/31
"東京,成田",日本,3195 ,200,2019/5/15,2019/5/28
武漢,中國,1507 ,200,2019/2/22,2019/3/24
河內,越南,1915 ,200,2019/5/16,2019/5/30
河內,越南,1853 ,200,2019/5/16,2019/5/30
法蘭克福,德國,4939 ,200,2019/2/15,2019/3/6
泗水,印尼,3713 ,200,2019/2/10,2019/3/24
芝加哥,美國,5210 ,300,2019/3/9,2019/3/25
金邊,柬埔寨,1877 ,180,2019/2/26,2019/3/5
金邊,柬埔寨,1938 ,200,2019/2/22,2019/3/7
阿姆斯特丹,荷蘭,5435 ,200,2019/5/12,2019/5/28
